Date,Reliance,Kotak Bank,HDFC Bank,Baj Finance,TITAN,L & T,TATA Motors,Britannia,Asian Paint
2016/09/23,546.222351,796.150024,656.349976,1126.5,409,998,553.049988,1710.550049,1191.199951
2016/09/26,548.401672,787.75,648.075012,1122.800049,404.75,977.133362,535.299988,1708.525024,1183
2016/09/27,550.036194,784.450012,649.025024,1098.599976,405.350006,957.599976,531.950012,1715.625,1192.550049
2016/09/28,540.204407,782.299988,647.625,1106.099976,409.700012,970.599976,540,1702.099976,1193.5
2016/09/29,531.18988,772.599976,638.75,1037.150024,393.149994,958.400024,526.299988,1642.775024,1167.349976
2016/09/30,536.762024,777,636.424988,1055.900024,395.100006,955.43335,534.849976,1682,1160.699951
2016/10/03,540.229187,788.049988,643.599976,1086.699951,406.600006,980.466675,540.799988,1742.775024,1193
2016/10/04,543.027649,791.700012,644.775024,1083.75,406.549988,966.099976,549.950012,1737.675049,1192.550049
2016/10/05,539.585266,782.150024,643.049988,1074.25,405.899994,969.299988,559.650024,1730.25,1208.75
2016/10/06,550.184814,783,640.974976,1077.25,398.850006,969.666687,551.450012,1733.5,1209.5
2016/10/07,549.293274,782.650024,640.299988,1082.5,395.299988,971.299988,565.700012,1693.324951,1184.599976
2016/10/10,543.027649,780.200012,642.174988,1073.949951,403.700012,966.666687,562.049988,1688.400024,1212.650024
2016/10/13,523.611694,772.349976,631.375,1053.949951,388.200012,958.93335,544.849976,1662.724976,1216.599976
2016/10/14,533.765442,781.75,630.900024,1061.300049,385.25,983.233337,556.099976,1665.375,1205.75
2016/10/17,525.345276,769.25,618.849976,1078.849976,386.100006,965.299988,547.549988,1653.199951,1182.300049
2016/10/18,535.474243,776.950012,628.924988,1117.349976,390.100006,992.166687,554.25,1632.300049,1174.5
2016/10/19,538.569885,774,629.174988,1118.849976,388.399994,994.033325,550.5,1658.449951,1169.300049
2016/10/20,538.668945,772.349976,627.75,1121.400024,389.600006,1002.43335,546.849976,1656.574951,1165.75
2016/10/21,527.103577,781.5,635.349976,1134.300049,379.399994,1007.233337,544.5,1655.349976,1153.5
2016/10/24,526.657837,787.349976,631.775024,1128.949951,377.549988,995.099976,559.799988,1653.949951,1127.5
2016/10/25,525.444336,786.549988,625.150024,1141.699951,373.299988,989.400024,553.799988,1647.675049,1139.75
2016/10/26,522.076233,811.5,619.650024,1148.400024,375.549988,988.200012,530.049988,1632.900024,1123.099976
2016/10/27,519.426331,806.599976,626.049988,1104.800049,369.200012,983.533325,522,1606.050049,1085.449951
2016/10/28,522.522034,819.349976,629.525024,1072.550049,373.549988,987.133362,537,1655.974976,1069.900024
2016/11/01,520.565552,805.549988,629.900024,1060.800049,372.700012,975.43335,530.599976,1665.275024,1076.699951
